,length,weight
0,8.4,5.9
1,13.7,32.0
2,15.0,40.0
3,16.2,51.5
4,17.4,70.0
5,18.0,100.0
6,18.7,78.0
7,19.0,80.0
8,19.6,85.0
9,20.0,85.0
10,21.0,110.0
11,21.0,115.0
12,21.0,125.0
13,21.3,130.0
14,22.0,120.0
15,22.0,120.0
16,22.0,130.0
17,22.0,135.0
18,22.0,110.0
19,22.5,130.0
20,22.5,150.0
21,22.7,145.0
22,23.0,150.0
23,23.5,170.0
24,24.0,225.0
25,24.0,145.0
26,24.6,188.0
27,25.0,180.0
28,25.6,197.0
29,26.5,218.0
30,27.3,300.0
31,27.5,260.0
32,27.5,265.0
33,27.5,250.0
34,28.0,250.0
35,28.7,300.0
36,30.0,320.0
37,32.8,514.0
38,34.5,556.0
39,35.0,840.0
40,36.5,685.0
41,36.0,700.0
42,37.0,700.0
43,37.0,690.0
44,39.0,900.0
45,39.0,650.0
46,39.0,820.0
47,40.0,850.0
48,40.0,900.0
49,40.0,1015.0
50,40.0,820.0
51,42.0,1100.0
52,43.0,1000.0
53,43.0,1100.0
54,43.5,1000.0
55,44.0,1000.0